Step,Task,Status,Notes,Timestamp
1.1,iDRAC Security Configuration,Manual,"Disable IPMI, VLAN, configure SSL/TLS, SSH settings",
1.2,CentOS Installation via iDRAC,Manual,"Install CentOS 6.10, configure network, set root password",
1.3,Network Interface Configuration,Manual,"Configure em1-em4 interfaces with IP addresses",
1.4,ILL Activation,Pending,"Check network connectivity with ping google.com",
1.5,DNS Entry in Route53,Manual,"Create A records for hostname in exotel.in and exotel.com",
2.1,ts-ami-setup-build,Pending,"Trigger Jenkins job with PROD_GIT_BRANCH",
2.2,ts-ami-deploy (ts_base_ami),Pending,"Deploy base AMI with hostname and sillyio name",
2.3,Server Reboot,Pending,"Reboot server after deployment",
2.4,SSH Service Check,Pending,"Verify sshd service is running",
3.1,User Verification,Pending,"Check if asterisk, exomon, recotrix users exist",
3.2,SSH Configs,Pending,"Verify .ssh directories for asterisk and exomon users",
3.3,Bash Configs,Pending,"Check .bashrc, .bash_profile, .bash_history files",
3.4,AWS Credentials,Pending,"Verify AWS credentials in /home/asterisk/.aws/",
3.5,fail2ban Service,Pending,"Check if fail2ban service is running",
3.6,SSH Port Configuration,Pending,"Verify port 22000 is configured in sshd_config",
4.1,ts_environmental_setup,Pending,"Deploy environmental setup via Jenkins",
4.2,Ruby Version Check,Pending,"Verify jruby version 1.7",
4.3,MySQL Service Check,Pending,"Check if mysqld service is running",
5.1,ts_services_setup,Pending,"Deploy services setup via Jenkins",
5.2,beanstalkd Service Check,Pending,"Verify beanstalkd service",
5.2,dnsmasq Service Check,Pending,"Verify dnsmasq service",
5.2,rsyslog Service Check,Pending,"Verify rsyslog service",
5.2,vsftpd Service Check,Pending,"Verify vsftpd service",
5.2,fail2ban Service Check,Pending,"Verify fail2ban service",
6.1,ts_telegraf_installation,Pending,"Deploy telegraf installation",
7.1,monitoring-scripts-build,Pending,"Build monitoring scripts",
7.2,monitoring-scripts-deploy-ts,Pending,"Deploy monitoring scripts to TS",
8.1,Asterisk Deployment,Pending,"Deploy asterisk service",
8.2,Asterisk Service Check,Pending,"Verify asterisk service is running",
9.1,Legolas-ts Deployment,Pending,"Deploy legolas-ts service",
9.2,Legolas-ts Service Check,Pending,"Verify legolas-ts service",
10.1,Adhearsion Build,Pending,"Build adhearsion service",
10.2,Adhearsion Deploy,Pending,"Deploy adhearsion service",
10.3,AHN Process Check,Pending,"Verify ahn process is running",
11.1,firefoot-ts Deployment,Pending,"Deploy firefoot-ts service",
11.2,firefoot-ts Service Check,Pending,"Verify firefoot-ts service",
11.1,amix Deployment,Pending,"Deploy amix service",
11.2,amix Service Check,Pending,"Verify amix service",
11.1,eventshipper Deployment,Pending,"Deploy eventshipper service",
11.2,eventshipper Service Check,Pending,"Verify eventshipper service",
11.1,causix Deployment,Pending,"Deploy causix service",
11.2,causix Service Check,Pending,"Verify causix service",
11.1,causixenqueuer Deployment,Pending,"Deploy causixenqueuer service",
11.2,causixenqueuer Service Check,Pending,"Verify causixenqueuer service",
11.1,route-switcher Deployment,Pending,"Deploy route-switcher service",
11.2,route-switcher Service Check,Pending,"Verify route-switcher service",
11.1,voipmonitor Deployment,Pending,"Deploy voipmonitor service",
11.2,voipmonitor Service Check,Pending,"Verify voipmonitor service",
11.1,fangorn Deployment,Pending,"Deploy fangorn service",
11.2,fangorn Service Check,Pending,"Verify fangorn service",
11.1,traffic-shaper Deployment,Pending,"Deploy traffic-shaper service",
11.2,traffic-shaper Service Check,Pending,"Verify traffic-shaper service",
12.1,Rsyslog Deployment,Pending,"Deploy rsyslog configuration",
12.2,Rsyslog Configuration Check,Pending,"Verify mum1 rsyslog configuration",
13.1,Python Version Check,Pending,"Verify Python 2.7.5",
13.2,Pip Version Check,Pending,"Verify pip 20.3.4",
13.3,Pip Modules Check,Pending,"Verify aws-cli, python-yaml, boto, botocore modules",
13.4,Kernel Version Check,Pending,"Verify kernel version 3.10.0-1160.53.1.el7.x86_64",
13.5,Libevent Check,Pending,"Verify libevent libraries",
13.6,Final beanstalkd Check,Pending,"Final verification of beanstalkd service",
13.6,Final dnsmasq Check,Pending,"Final verification of dnsmasq service",
13.6,Final rsyslog Check,Pending,"Final verification of rsyslog service",
13.6,Final vsftpd Check,Pending,"Final verification of vsftpd service",
13.6,Final fail2ban Check,Pending,"Final verification of fail2ban service",
13.7,Mongrel Fix,Pending,"Apply mongrel fix for jruby",
14.1,Network Configuration,Manual,"Configure network interfaces and routing",
14.2,Haproxy Upgrade,Manual,"Upgrade haproxy to version 2.4.2",
14.3,Squid Upgrade,Manual,"Upgrade squid to version 3.5.28",
14.4,WAN Router Installation,Manual,"Install WAN router for PRI servers",
14.5,Database Entries,Manual,"Add server, card, network, and interface entries to database",
14.6,SIP Configuration,Manual,"Configure SIP interfaces and asterisk configs",
14.7,Twilix Deployment,Manual,"Deploy twilix service",
14.8,Functional Testing,Manual,"Test call flows and APIs",
14.9,Load Testing,Manual,"Perform load testing with multiple VNs",
14.10,Documentation,Manual,"Update documentation and handover"
